ID,TopGroup,SubGroup,depth_increment,Mean_Perc,se,Low_Perc,High_Perc,col,obs,n_study
59,Aridity,Arid,0 - 10 cm,26.98455691,5.147748134,16.89497057,37.07414325,orange,39,8
58,Aridity,Semi-Arid,0 - 10 cm,4.765696704,2.594211601,-0.318958034,9.850351442,orange,105,30
57,Aridity,Dry Sub-Humid,0 - 10 cm,2.104383328,3.046151159,-3.866072944,8.0748396,orange,27,7
56,Aridity,Humid,0 - 10 cm,-16.88022116,0.602813326,-18.06173528,-15.69870704,orange,9,2
50,Irrigation,Drippers,0 - 10 cm,2.287965462,3.934900505,-5.424439528,10.00037045,cadetblue,25,7
49,Irrigation,Sprinkler,0 - 10 cm,5.158306878,3.218339556,-1.149638652,11.46625241,cadetblue,81,20
48,Irrigation,Flood/Furrow,0 - 10 cm,12.17330116,3.736515195,4.849731378,19.49687094,cadetblue,65,16
54,Texture,Coarse,0 - 10 cm,7.562025508,4.447800067,-1.155662623,16.27971364,#bf63bf,43,13
53,Texture,Medium,0 - 10 cm,11.44650446,2.237714661,7.060583724,15.8324252,#bf63bf,31,9
52,Texture,Fine,0 - 10 cm,4.946201674,3.120567878,-1.170111367,11.06251471,#bf63bf,86,20
46,,Increment Mean,0 - 10 cm,8.009485,2.075367938,3.941763841,12.07720616,black,181,48
44,Aridity,Arid,10 - 20 cm,45.89847933,10.9189799,24.49727873,67.29967993,orange,7,3
43,Aridity,Semi-Arid,10 - 20 cm,0.624843857,2.139605459,-3.568782843,4.818470557,orange,41,12
42,Aridity,Dry Sub-Humid,10 - 20 cm,,,,,orange,,
41,Aridity,Humid,10 - 20 cm,-6.295399516,0.122474487,-6.535449511,-6.055349521,orange,4,1
45,Aridity,Hyper Arid,10 - 20 cm,-3.234152652,0.67034397,-4.548026833,-1.920278471,orange,1,1
35,Irrigation,Drippers,10 - 20 cm,-5.85301025,0.271968593,-6.386068692,-5.319951808,cadetblue,7,2
34,Irrigation,Sprinkler,10 - 20 cm,11.58917117,8.184955403,-4.45334142,27.63168376,cadetblue,16,5
33,Irrigation,Flood/Furrow,10 - 20 cm,6.996513585,3.497136223,0.142126588,13.85090058,cadetblue,21,6
39,Texture,Coarse,10 - 20 cm,23.30031455,11.37548166,1.004370496,45.5962586,#bf63bf,10,3
38,Texture,Medium,10 - 20 cm,-2.012931186,5.846982561,-13.47301701,9.447154634,#bf63bf,12,4
37,Texture,Fine,10 - 20 cm,1.533906827,2.735748661,-3.828160549,6.895974203,#bf63bf,28,9
31,,Increment Mean,10 - 20 cm,6.696663,3.244756525,0.33694021,13.05638579,black,47,15
29,Aridity,Arid,20 - 30 cm,11.51084004,4.823207625,2.057353095,20.96432699,orange,27,4
28,Aridity,Semi-Arid,20 - 30 cm,3.620376983,2.604241439,-1.483936237,8.724690203,orange,44,14
27,Aridity,Dry Sub-Humid,20 - 30 cm,-4.012820513,4.02080336,-11.8935951,3.867954073,orange,9,2
26,Aridity,Humid,20 - 30 cm,-30.73286052,0.467707173,-31.64956658,-29.81615446,orange,4,1
30,Aridity,Hyper Arid,20 - 30 cm,,,,,orange,,
20,Irrigation,Drippers,20 - 30 cm,-19.55264751,2.873439487,-25.1845889,-13.92070612,cadetblue,16,4
19,Irrigation,Sprinkler,20 - 30 cm,5.801683816,3.646593282,-1.345639017,12.94900665,cadetblue,36,11
18,Irrigation,Flood/Furrow,20 - 30 cm,10.68141471,2.564018069,5.655939295,15.70689013,cadetblue,29,5
24,Texture,Coarse,20 - 30 cm,11.48456715,11.58637086,-11.22471974,34.19385404,#bf63bf,12,4
23,Texture,Medium,20 - 30 cm,-9.480830195,1.043265091,-11.52562977,-7.436030617,#bf63bf,13,3
22,Texture,Fine,20 - 30 cm,6.099815613,1.7764082,2.618055541,9.581575685,#bf63bf,50,11
16,,Increment Mean,20 - 30 cm,3.702886,2.295884607,-0.79704783,8.20281983,black,84,21
14,Aridity,Arid,30+ cm,30.91688567,7.257835002,16.69152907,45.14224227,orange,15,6
13,Aridity,Semi-Arid,30+ cm,-1.175267589,3.8723851,-8.765142385,6.414607207,orange,24,8
12,Aridity,Dry Sub-Humid,30+ cm,-1.033973412,0.396147585,-1.810422679,-0.257524145,orange,9,2
11,Aridity,Humid,30+ cm,-33.57664234,0.418330013,-34.39656917,-32.75671551,orange,4,1
15,Aridity,Hyper Arid,30+ cm,-5.520169851,0.26934445,-6.048084973,-4.992254729,orange,1,1
5,Irrigation,Drippers,30+ cm,-15.48880425,4.109339131,-23.54310895,-7.434499553,cadetblue,12,4
4,Irrigation,Sprinkler,30+ cm,10.20377162,5.454587274,-0.487219437,20.89476268,cadetblue,24,7
3,Irrigation,Flood/Furrow,30+ cm,6.198008916,7.507111379,-8.515929387,20.91194722,cadetblue,12,5
9,Texture,Coarse,30+ cm,3.059780514,11.04825292,-18.59479521,24.71435624,#bf63bf,11,4
8,Texture,Medium,30+ cm,1.9694268,4.249853004,-6.360285088,10.29913869,#bf63bf,11,3
7,Texture,Fine,30+ cm,-1.761085869,4.357700842,-10.30217952,6.780007781,#bf63bf,24,8
1,,Increment Mean,30+ cm,5.404045,3.614856149,-1.681073052,12.48916305,black,53,18
